lat;lon;x;y;z;val;dqc;
 55.4098;10.3035;-298632;-835420;NA;22.4;1;
 60.5574;24.9722;543359;-229469;70;21;0;
 55.8188;12.3862;-164441;-797156;41;17.8;0;
 54.9536;9.88441;-329293;-884393;NA;20.9;1;
 55.3658;10.3454;-296330;-840534;NA;23.7;1;
 58.3516;16.7041;99726;-516104;NA;21.3;1;
 60.2285;21.3728;351685;-290853;15;21;5;
 59.4131;5.31362;-547026;-357820;81;14.8;0;
 65.0671;14.7978;-9484;229917;599;15.9;5;
 56.5035;13.0503;-120352;-722029;30;16.8;0;
 59.3679;17.4376;138340;-401512;14;25.8;0;
 63.1792;17.5395;127378;22442;37;20.8;5;
 61.1004;9.69683;-284811;-199513;1013;15.2;0;
 55.5725;13.1223;-118953;-826357;22.4856;17.4;0;
 58.1332;8.24161;-397383;-520889;18;20.2;0;
 58.8117;5.73513;-533013;-427655;106;14;0;
 58.9053;5.67064;-535189;-416794;51;15.5;0;
 58.083;6.87425;-478095;-517145;16;22.5;4;
 55.6206;12.3961;-164718;-819368;7;18.4;0;
 58.883;5.67371;-535373;-419280;NA;14.6;1;
 57.7784;12.555;-145498;-578622;NA;17;1;
 61.3015;17.0462;109287;-187153;15;19;0;
 55.756;12.5645;-153496;-804626;12;17.5;0;
 62.8722;12.7132;-115922;-12149;889;18.7;5;
 56.1698;8.85093;-382619;-742888;48;16.6;0;
 63.9379;10.0464;-241791;113612;26;28.7;0;
 59.2765;11.0649;-223864;-407466;NA;20;1;
 68.3499;22.1858;295556;612324;362;15.1;5;
 55.7943;13.1221;-118240;-801516;17;17.3;0;
 62.2775;6.87249;-419324;-53806;174;35.4;4;
 59.9015;10.7529;-236994;-336872;2;21.5;0;
 55.673;13.3418;-104760;-815482;73;17.5;0;
 59.8668;10.8245;-233255;-340990;171;21.2;0;
 60.8649;11.5855;-184891;-232556;216;22.4;0;
 59.8052;5.5048;-529883;-316233;44;17.6;0;
 59.3459;18.1046;176286;-402329;42;21.9;0;
 62.94;7.85111;-360884;13409;43;26.5;0;
 55.7271;13.1879;-114310;-809160;NA;16.6;1;
 55.784;12.5223;-156033;-801390;NA;23;1;
 56.1256;8.89549;-380324;-748077;60;16.5;0;
 59.2049;10.4396;-259946;-413074;NA;16.8;1;
 57.2575;16.467;88639;-638550;13;21.4;5;
 60.2996;22.3101;402304;-277488;2;18.2;0;
 68.4221;17.3666;97224;605649;NA;17.3;1;
 56.4957;8.58328;-395586;-704973;1;17;0;
 66.283;14.0467;-42708;365575;12;21.4;0;
 63.354;10.3219;-233088;47845;196;24.2;0;
 58.6758;7.05013;-459647;-452822;635;15.2;0;
 59.2377;10.4707;-257919;-409554;29;16.1;0;
 57.0743;9.9059;-309121;-647782;NA;19.8;1;
 58.9011;5.70983;-533024;-417583;25;15.5;0;
 57.0267;9.90277;-309731;-653070;48;19.5;0;
 59.0165;6.94179;-461131;-414360;683;16.5;0;
 59.3333;18.05;173255;-403879;11;22;0;
 59.9062;11.101;-217562;-337580;143;22.6;0;
 59.264;10.4767;-257372;-406654;30;17.6;0;
 55.6667;12.5833;-152687;-814669;2;18.5;0;
 59.3843;17.9769;168842;-398398;32;26.9;4;
 55.5682;11.9665;-192151;-824043;46;17.5;0;
 59.5656;11.3297;-206979;-376202;158;23.7;0;
 61.3331;10.0901;-261759;-175379;741;19.1;0;
 56.0827;14.4903;-31841;-770820;25;15.8;0;
 59.1845;15.2436;13906;-424542;35;24.1;0;
 59.3338;18.0966;175897;-403697;28;22.5;0;
 59.3194;18.2092;182368;-404986;NA;21;1;
 58.0279;7.42822;-446380;-527230;2;19.2;0;
 59.8285;10.3844;-258106;-343563;194;20.4;0;
 56.5836;8.27966;-413211;-693282;16;17.3;0;
 59.2929;11.1421;-219368;-405908;41;22.1;0;
 61.2425;10.4826;-241577;-186966;NA;21.8;1;
 63.4365;10.4106;-228022;56677;14;22.5;0;
 59.3271;16.49;84679;-407699;36;23.1;0;
 55.8227;12.4788;-158601;-796952;53;18.6;0;
 57.695;11.9437;-182293;-586366;61;24.1;4;
 59.3793;10.4449;-258269;-393713;30;18.9;0;
 55.8401;12.4136;-162622;-794842;54;19.4;0;
 59.2445;18.2226;183547;-413283;NA;25;1;
 59.9291;10.8841;-229486;-334281;196;20.8;0;
 55.2746;8.72241;-400366;-841931;7;19.6;0;
 56.322;10.3287;-289617;-733637;25;21.7;0;
 56.1471;10.1894;-299701;-752521;15;20.3;0;
 68.782;16.5417;62379;644833;NA;16.9;1;
 55.7037;13.1909;-114194;-811786;46;18.6;0;
 57.1208;12.9481;-124457;-652850;117;18;0;
 58.7333;5.66859;-538078;-435750;NA;14.7;1;
 55.0726;14.9196;-5164;-884143;82;16;0;
 58.9325;5.7001;-533074;-414039;NA;15.4;1;
 61.7513;11.1815;-200891;-132894;260;24;0;
 55.8725;9.66179;-335049;-780569;49;22.1;0;
 60.1193;15.1717;9523;-320438;218;22;0;
 58.347;6.2807;-508830;-483389;98;16.6;0;
 61.0412;6.52684;-455123;-187822;499;16.5;0;
 61.8809;11.091;-204771;-118220;273;24.8;0;
 57.8401;14.134;-51452;-574154;201;21.1;0;
 55.7574;12.4461;-160948;-804180;NA;18;1;
 68.4349;17.3943;98308;607120;70;17.7;0;
 60.5298;12.0003;-164187;-270927;164;23.2;0;
 58.9596;5.63139;-536546;-410479;34;16.1;0;
 55.3841;10.364;-295000;-838573;13;24.4;0;
 56.9898;9.98454;-305094;-657572;27;20.3;0;
 55.9739;10.1291;-304918;-771574;NA;23.7;1;
 55.6555;12.1275;-181523;-814738;33;18.8;0;
 61.3352;12.1712;-150898;-181823;746;19.8;0;
